genre,age_category,average_stream_count
Classical,newer,247133.5580912863
Classical,older,183653.9278131635
Country,newer,211907.48550342646
Country,older,197089.1917002168
EDM,newer,217266.48721399732
EDM,older,229105.4292929293
Folk,newer,222130.4460580913
Folk,older,211848.80471903135
Hip-Hop,newer,271821.6299333675
Hip-Hop,older,260098.98555179834
Indie,newer,215930.80124869928
Indie,older,135673.00983190612
Jazz,newer,199185.59556786704
Jazz,older,204947.8613799563
Metal,newer,248161.59008776458
Metal,older,193677.09900692146
Pop,newer,227178.17606747497
Pop,older,205349.83297904645
R&B,newer,237711.75397445922
R&B,older,219682.603331277
Reggaeton,newer,185090.97898513582
Reggaeton,older,191669.7869593286
Rock,newer,228551.49934810953
Rock,older,175844.7907118851
